acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000090339	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000108691	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000100985	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000122861	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000105329	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000178404	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000115008	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000169245	both
173	12	BSK_KF3CT_IP10	BSK_KF3CT_IP10, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].	regulation of gene expression	cxcl10	ENSG00000169245	ENSG00000090339	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000108691	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000100985	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000122861	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000105329	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000178404	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000115008	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000169245	both
174	12	BSK_KF3CT_MCP1	BSK_KF3CT_MCP1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MCP-1 antibody is used to tag and quantify the level of chemokine (C-C motif) ligand 2 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:CCL2 | GeneID:6347 | Uniprot_SwissProt_Accession:P13500].	regulation of gene expression	ccl2	ENSG00000108691	ENSG00000090339	both
175	12	BSK_KF3CT_MMP9	BSK_KF3CT_MMP9, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MMP-9 antibody is used to tag and quantify the level of matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase) protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:MMP9 | GeneID:4318 | Uniprot_SwissProt_Accession:P14780].	regulation of gene expression	mmp9	ENSG00000100985	ENSG00000108691	both
175	12	BSK_KF3CT_MMP9	BSK_KF3CT_MMP9, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	MMP-9 antibody is used to tag and quantify the level of matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase) protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:MMP9 | GeneID:4318 | Uniprot_SwissProt_Accession:P14780].	regulation of gene expression	mmp9	ENSG00000100985	ENSG00000100985	both
